id,avgspeed,cars
4540,17.0,2
4541,26.0,1
4544,2.0,1
4546,19.0,1
4548,11.0,2
4553,9.0,1
4556,13.0,2
4557,19.0,4
4558,16.0,3
4559,21.0,2
4561,39.0,3
4562,45.0,2
4564,29.0,3
4571,17.0,1
4581,20.0,1
4593,78.0,1
4611,71.0,1
4626,25.0,3
4627,10.0,6
4631,25.0,1
4634,21.0,1
4636,25.0,1
4647,15.0,5
4648,20.0,1
4658,30.0,3
4665,20.0,1
4669,8.0,2
4671,33.0,1
4673,7.0,3
4679,23.0,1
4722,63.0,1
4728,10.0,3
4733,2.0,1
4736,36.0,1
4737,17.0,6
4743,13.0,1
4748,46.0,1
4751,31.0,1
4753,21.0,1
4754,12.0,5
4758,33.0,2
4759,25.0,1
4760,46.0,1
4763,12.0,1
4764,1.0,2
4765,25.0,2
4767,2.0,1
4773,1.0,0
4778,58.0,1
4781,89.0,1
4822,49.0,1
4825,5.0,1
4828,9.0,2
4829,18.0,1
4837,12.0,1
4839,38.0,1
4840,9.0,2
4841,17.0,1
4851,14.0,1
4853,33.0,1
4855,23.0,2
4856,6.0,4
4858,36.0,1
4861,28.0,1
4862,81.0,1
4868,18.0,1
4871,9.0,2
4876,15.0,1
4877,4.0,5
4895,49.0,2
4922,101.0,4
4926,17.0,2
4928,8.0,7
4933,6.0,2
4934,28.0,1
4935,21.0,3
4936,41.0,1
4937,28.0,3
4941,17.0,2
4942,2.0,3
4944,36.0,1
4947,21.0,1
4950,26.0,1
4951,39.0,2
4961,10.0,1
4962,49.0,1
4965,18.0,2
4966,10.0,2
4971,5.0,2
4974,38.0,2
4975,8.0,2
4977,25.0,1
4982,73.0,2
4988,23.0,1
5022,65.0,2
5039,38.0,2
5040,11.0,4
5041,36.0,1
5042,13.0,2
5049,29.0,2
5062,18.0,4
5064,13.0,1
5066,4.0,2
5067,19.0,2
5071,9.0,2
5090,2.0,0
5097,29.0,1
5098,49.0,0
5099,50.0,1
5118,49.0,1
5122,84.0,2
5134,65.0,1
5142,17.0,1
5148,15.0,2
5152,25.0,1
5162,44.0,1
5166,20.0,2
5167,31.0,1
5173,21.0,1
5175,44.0,1
5180,87.0,1
5190,25.0,10
5236,34.0,1
5240,35.0,2
5242,20.0,1
5243,4.0,1
5244,9.0,3
5246,5.0,2
5247,12.0,3
5248,21.0,4
5249,11.0,3
5250,14.0,4
5257,4.0,1
5265,21.0,1
5266,25.0,1
5268,9.0,3
5269,11.0,4
5270,44.0,1
5271,26.0,7
5272,28.0,1
5273,15.0,2
5274,1.0,3
5317,25.0,1
5335,26.0,1
5338,23.0,1
5341,7.0,1
5343,8.0,4
5345,25.0,2
5348,24.0,2
5350,29.0,2
5365,31.0,1
5371,7.0,2
5377,20.0,2
5380,84.0,1
5422,9.0,1
5436,46.0,1
5437,39.0,1
5442,33.0,1
5444,7.0,1
5445,34.0,3
5446,4.0,1
5447,9.0,3
5448,10.0,2
5450,24.0,2
5457,20.0,1
5462,47.0,2
5464,15.0,1
5467,31.0,1
5469,13.0,3
5471,29.0,2
5473,7.0,1
5475,18.0,1
5478,24.0,3
5485,55.0,1
5488,5.0,1
5536,14.0,3
5537,42.0,1
5538,15.0,3
5539,18.0,1
5542,12.0,1
5545,1.0,1
5548,13.0,4
5551,26.0,1
5565,32.0,2
5568,2.0,1
5569,21.0,2
5570,34.0,1
5579,44.0,1
5581,49.0,1
5590,2.0,2
5591,25.0,1
5592,28.0,2
5595,76.0,1
5598,33.0,1
5623,108.0,1
5628,47.0,1
5634,34.0,1
5635,5.0,1
5638,23.0,1
5642,13.0,1
5643,27.0,2
5644,28.0,1
5647,57.0,2
5657,16.0,2
5659,18.0,1
5661,4.0,2
5662,52.0,1
5665,31.0,1
5679,10.0,3
5681,79.0,5
5693,44.0,1
5698,44.0,3
5719,52.0,1
5722,110.0,1
5744,11.0,3
5746,36.0,1
5753,5.0,1
5755,10.0,5
5757,14.0,6
5763,2.0,2
5765,10.0,1
5772,4.0,0
5775,36.0,1
5777,42.0,1
5780,42.0,1
5796,38.0,1
5797,21.0,3
5799,38.0,1
5843,45.0,2
5844,3.0,2
5847,36.0,1
5849,20.0,1
5858,3.0,3
5859,3.0,2
5862,13.0,2
5865,23.0,1
5866,19.0,3
5869,10.0,1
5871,12.0,1
5873,39.0,1
5879,19.0,3
5881,80.0,2
5884,39.0,1
5920,79.0,1
5926,36.0,1
5947,29.0,1
5948,55.0,1
5949,36.0,2
5950,1.0,1
5951,1.0,2
5952,26.0,1
5953,12.0,1
5957,7.0,2
5959,46.0,1
5965,21.0,1
5968,17.0,2
5976,5.0,3
5978,23.0,1
5979,15.0,1
5986,2.0,1
6020,103.0,4
6036,38.0,1
6045,19.0,2
6055,14.0,2
6056,32.0,2
6057,17.0,6
6060,25.0,1
6064,54.0,1
6067,6.0,1
6068,18.0,3
6071,29.0,1
6073,25.0,2
6074,31.0,1
6079,12.0,1
6083,47.0,1
6096,49.0,1
6101,31.0,1
6102,36.0,1
6106,31.0,1
6122,47.0,1
6141,44.0,1
6145,22.0,3
6148,9.0,4
6150,21.0,1
6151,28.0,1
6154,50.0,1
6159,8.0,5
6161,14.0,2
6168,28.0,3
6169,42.0,1
6170,30.0,2
6171,13.0,2
6177,16.0,5
6204,29.0,1
6207,39.0,2
6216,5.0,2
6217,44.0,1
6219,63.0,4
6237,50.0,1
6239,1.0,1
6249,32.0,2
6251,18.0,2
6259,12.0,1
6260,17.0,3
6269,34.0,2
6270,13.0,2
6271,17.0,6
6272,1.0,1
6280,95.0,2
6284,23.0,1
6296,11.0,1
6304,49.0,1
6309,4.0,1
6310,56.0,2
6319,112.0,1
6347,26.0,3
6350,11.0,2
6351,20.0,1
6357,34.0,1
6358,28.0,1
6359,10.0,1
6365,50.0,1
6366,4.0,1
6369,12.0,1
6375,11.0,2
6376,25.0,1
6377,1.0,3
6380,77.0,3
6385,66.0,1
6387,21.0,1
6419,81.0,1
6432,57.0,1
6438,49.0,1
6440,29.0,1
6441,73.0,2
6442,75.0,1
6446,17.0,2
6450,7.0,1
6457,9.0,2
6458,29.0,1
6460,20.0,3
6469,33.0,2
6475,16.0,3
6476,1.0,1
6481,95.0,1
6489,70.0,1
6540,59.0,3
6546,33.0,1
6557,21.0,2
6570,19.0,5
6575,13.0,3
6585,1.0,1
6592,71.0,1
6604,15.0,1
6618,66.0,1
6619,44.0,1
6632,18.0,1
6640,53.0,2
6645,29.0,3
6647,12.0,1
6648,25.0,1
6654,42.0,1
6659,39.0,2
6660,19.0,3
6662,29.0,1
6670,7.0,2
6672,39.0,1
6675,9.0,1
6682,78.0,1
6693,26.0,1
6697,9.0,1
6719,92.0,1
6740,82.0,2
6741,5.0,1
6745,5.0,1
6747,28.0,1
6751,46.0,1
6759,47.0,1
6761,7.0,5
6763,17.0,1
6767,25.0,1
6792,28.0,1
6803,5.0,1
6806,21.0,1
6821,55.0,1
6840,59.0,2
6843,4.0,1
6858,31.0,1
6859,28.0,1
6870,18.0,1
6871,1.0,1
6873,10.0,1
6877,6.0,3
6882,87.0,1
6892,11.0,1
6928,29.0,1
6953,18.0,1
6956,5.0,1
6957,38.0,1
6958,28.0,1
6962,21.0,1
6963,63.0,1
6970,31.0,1
6971,31.0,1
6972,42.0,1
6982,79.0,1
6995,36.0,1
7027,29.0,1
7029,4.0,1
7031,39.0,1
7040,70.0,1
7043,52.0,1
7054,17.0,4
7055,13.0,1
7071,6.0,2
7073,42.0,1
7078,23.0,1
7079,58.0,1
7118,65.0,1
7127,17.0,1
7128,10.0,2
7129,29.0,1
7140,82.0,2
7141,31.0,1
7143,26.0,1
7151,21.0,1
7153,39.0,1
7157,86.0,1
7166,50.0,1
7167,26.0,1
7171,13.0,2
7176,26.0,1
7177,13.0,1
7209,113.0,3
7218,55.0,1
7224,10.0,1
7225,20.0,1
7226,28.0,2
7240,97.0,1
7254,17.0,6
7257,52.0,1
7276,60.0,1
7279,15.0,1
7281,91.0,1
7283,13.0,1
7290,18.0,1
7301,38.0,1
7316,72.0,2
7317,41.0,1
7325,29.0,1
7338,79.0,1
7339,32.0,3
7350,28.0,1
7352,39.0,1
7353,33.0,1
7355,17.0,3
7360,13.0,1
7365,18.0,1
7371,29.0,2
7379,14.0,2
7389,47.0,1
